,sex,racecmb,state,trump_prob,mean,sd,mc_error,hpd_2.5,hpd_97.5,population,votes_clinton,votes_trump,voted_prop,est_population_voted,votes_adj_clinton,votes_adj_trump,lr_prob,lr_votes_clinton,lr_votes_trump
0,Female,Asian or Asian-American,Alabama,0.3737877905357289,0.38341830781217934,0.13538012250933928,0.003845643569582961,0.14993068490979897,0.6576244457408548,51040.970000000016,31962,19078,0.36528341986040874,18644.420074592534,11675,6969,0.3920244916597898,31032,20009
1,Female,Asian or Asian-American,Alaska,0.30932445979981776,0.333282304687867,0.17100645435414583,0.005632367689953472,0.05592699978472645,0.6472388838703682,28853.069999999996,19928,8925,0.5942345488754416,17145.491035121537,11842,5304,0.33148672045750455,19289,9564
2,Female,Asian or Asian-American,Arizona,0.3093940037426502,0.3201009961878556,0.11285239725899177,0.0036130081030719802,0.13123394343765138,0.5410768968013854,124310.66999999994,85850,38461,0.7210089077145855,89629.10039396824,61898,27731,0.33562190284382704,82589,41721
3,Female,Asian or Asian-American,Arkansas,0.19262888970416517,0.21495760322404775,0.11431562450820604,0.0034068945747398613,0.035631951393990904,0.4439341615906072,24256.009999999995,19584,4672,1.0,24256.009999999995,19584,4672,0.21440268409393057,19055,5201
4,Female,Asian or Asian-American,California,0.0795415742445471,0.08617241818687256,0.0359416588749876,0.0011279844855978222,0.02522824796383182,0.15992397250666865,3196447.650000006,2942197,254250,0.6174092674809424,1973516.4021276834,1816540,156977,0.09256629805886508,2900564,295883
5,Female,Asian or Asian-American,Colorado,0.11912475795827752,0.1302028672441122,0.05899902468581437,0.0017793990230609048,0.0345016410828416,0.2533976633033372,64875.81999999999,57148,7728,0.43227082206988415,28043.924043857827,24703,3341,0.1364278172016482,56025,8851
6,Female,Asian or Asian-American,Connecticut,0.18721922997154886,0.2038774563288061,0.09523740455358301,0.0030091543522878144,0.04001406125923852,0.38458849851567367,98277.98999999999,79878,18400,0.34389503909180724,33797.31321291424,27470,6328,0.21075191216797834,77566,20712
7,Female,Asian or Asian-American,Delaware,0.24185906547630884,0.263729251892965,0.13354833342841305,0.00423902183501851,0.03707460673893418,0.5223140368809127,21397.489999999998,16222,5175,0.6620789094813289,14166.826844837638,10740,3426,0.2676884856386697,15670,5728
8,Female,Asian or Asian-American,District of Columbia,0.06699591540944148,0.08253263882517184,0.05770818864524258,0.0016758918409963367,0.006435084687611492,0.2028148986891172,16322.500000000002,15229,1094,0.754158991216178,12309.760134126067,11485,825,0.08137835399787162,14994,1328
9,Female,Asian or Asian-American,Florida,0.18587449876757053,0.19610440455565553,0.0716184768877286,0.0023396419216038153,0.07630782561161037,0.34629225828488697,277783.66,226151,51633,0.6258023123288228,173837.6567551635,141526,32312,0.20926242868472572,219654,58130
10,Female,Asian or Asian-American,Georgia,0.2837589761207156,0.2945442519807552,0.10229336208826634,0.003353978108059085,0.11011138135789997,0.4737224271861126,243664.65000000005,174523,69142,0.47953880928006243,116846.6561246432,83690,33156,0.3102682142388438,168063,75601
11,Female,Asian or Asian-American,Hawaii,0.10373658978172455,0.12255795796903482,0.07658436080024082,0.0021591759866891624,0.015804047165137235,0.2825235375439742,305203.58999999985,273543,31661,0.5857889032500043,178784.87625406389,160238,18547,0.12410034166206603,267328,37876
12,Female,Asian or Asian-American,Idaho,0.2680248791411858,0.2854129054477662,0.1255979025621033,0.003194587697400539,0.07478896284828916,0.5377411098337924,8957.589999999998,6557,2401,0.39782778136930386,3563.578156115862,2608,955,0.29383552773107335,6326,2632
13,Female,Asian or Asian-American,Illinois,0.16595289991866383,0.17714665567888643,0.07105901663173628,0.0023938172830767906,0.05203276085825559,0.31330231006407067,374284.1600000002,312171,62114,0.696791587663644,260798.05408375352,217518,43280,0.18651669992617098,304474,69810
14,Female,Asian or Asian-American,Indiana,0.2511983347274161,0.26427182154105544,0.10366033483677078,0.003476732880471436,0.06655431414791092,0.4612383564233547,58169.130000000005,43557,14612,0.9190601433430877,53460.928955942705,40032,13429,0.2783909685269741,41975,16194
15,Female,Asian or Asian-American,Iowa,0.1919855950900994,0.2072640285566775,0.09197419960782996,0.0026867381740051,0.0554226786086104,0.3834829526868003,43730.55000000001,35335,8396,0.6510453860804343,28470.57280825974,23005,5466,0.21348167217661024,34395,9336
16,Female,Asian or Asian-American,Kansas,0.1967176964678474,0.21147252846838668,0.09333756306543405,0.0028922253885753577,0.06628648703964574,0.39953981906148023,38682.36,31073,7610,0.09190776919291667,3555.209414717312,2856,699,0.21807064152299524,30247,8435
17,Female,Asian or Asian-American,Kentucky,0.238955931696822,0.2518882149511644,0.09796460734841747,0.0028748999554859063,0.07808907385019362,0.44249859849710127,29823.160000000003,22697,7126,0.0,0.0,0,0,0.26469907297319023,21929,7894
18,Female,Asian or Asian-American,Louisiana,0.4151014795922284,0.42196958333887974,0.14146784580236837,0.004118542181973355,0.16165445401979764,0.6975476089084821,45574.329999999994,26656,18918,0.38266538306638725,17439.718447443942,10200,7239,0.43621822149801065,25694,19880
19,Female,Asian or Asian-American,Maine,0.1430443144527805,0.16263411882434148,0.09257074500283448,0.0028430830966271687,0.0275485212300587,0.3418284205459009,19846.08,17007,2839,0.7643007798046516,15168.374420065502,12999,2170,0.16658012481571244,16540,3306
20,Female,Asian or Asian-American,Maryland,0.09712659312203346,0.10919358905068474,0.056769913993423925,0.0015631242590364528,0.021603109155413375,0.2176325701694839,176191.83999999997,159079,17113,0.5738884544280005,101114.46274042554,91294,9821,0.1144339700850192,156030,20162
21,Female,Asian or Asian-American,Massachusetts,0.121869414826271,0.13360693189940673,0.06302085356044408,0.0018871019920755992,0.03140683179344071,0.25865117205206833,247327.86,217186,30142,0.5808597221262877,143662.79203368936,126155,17508,0.1390150269621492,212946,34382
22,Female,Asian or Asian-American,Michigan,0.19332910345490967,0.20456779493276084,0.07839428231824482,0.002398241768514242,0.06922243645059514,0.3444402560772202,164683.69,132846,31838,0.5927885044087726,97622.59829561795,78749,18873,0.21641022428644285,129044,35639
23,Female,Asian or Asian-American,Minnesota,0.13779500886443224,0.14929698735950714,0.0657401561012891,0.0020168286595497083,0.04500690829269979,0.2821299857903634,100366.34999999999,86536,13830,0.5394039180399484,54138.00242936877,46678,7460,0.1567707270074978,84632,15735
