country,page
Afghanistan,Robina Muqimyar
Afghanistan,Template:Afghanistan-politician-stub
Afghanistan,Template:Afghanistan-diplomat-stub
Afghanistan,Template:Afghanistan-mayor-stub
Afghanistan,Munshi Abdul Majid
Afghanistan,Mohammad Bashir Qant Chah Abi
Afghanistan,Ghulam Qawis Abubaker
Afghanistan,Roqia Abubakr
Afghanistan,Shah Waliullah Adeeb
Afghanistan,Tayyab Agha
Afghanistan,Baz Mohammad Ahmadi
Afghanistan,Qari Ahmadullah
Afghanistan,Amir Muhammad Akhundzada
Afghanistan,Abdul Qadir Alam
Afghanistan,Rahila Bibi Kobra Alamshahi
Afghanistan,Mohammad Ishaq Aloko
Afghanistan,Mohammad Aman
Afghanistan,List of ambassadors of Afghanistan
Afghanistan,Roohul Amin
Afghanistan,Khairullah Anosh
Afghanistan,Abdul Malik Anwar
Afghanistan,Abdul Hadi Arghandiwal
Afghanistan,Delbar Jan Arman
Afghanistan,Ahmad Shah Khan Asakzai
Afghanistan,Ghulam Dastagir Azad
Afghanistan,Humayun Azizi
Afghanistan,Mohammad Iqbal Azizi
Afghanistan,Badar
Afghanistan,Jamaluddin Badr
Afghanistan,Bashir Baghlani
Afghanistan,Naeem Baloch
Afghanistan,Mohammad Akbar Barakzai
Afghanistan,Abdul Bagi Baryal
Afghanistan,Ahmad Behzad
Afghanistan,Arsala Rahmani Daulat
Afghanistan,Masuma Esmati-Wardak
Afghanistan,Faizanullah Faizan
Afghanistan,Khalid Farooqi
Afghanistan,Sharif Fayez
Afghanistan,Abdul Ghani Ghani
Afghanistan,Ghulam Mohammad Ghobar
Afghanistan,Abdul Qadir Imami Ghori
Afghanistan,Mohammad Ghous
Afghanistan,Sayed Mohammad Gulabzoy
Afghanistan,Ghulam Haider Hamidi
Afghanistan,Sayed Ahmad Haqbeen
Afghanistan,Mullah Mohammad Hasan
Afghanistan,Mohammad Hashim Khan
Afghanistan,Sayed Abdul Karim Hashimi
Afghanistan,Abdul Rahim Hatif
Afghanistan,Shahnaz Himmeti
Afghanistan,Anarkali Kaur Honaryar
Afghanistan,Abdul Latif Ibrahimi
Afghanistan,Muhammad Ali Jalali
Afghanistan,Habibullah Jan
Afghanistan,Sultan Jan
Afghanistan,Said Mohammad Ali Jawid
Afghanistan,Seema Jowenda
Afghanistan,List of governors of Jowzjan
Afghanistan,Mohammad Shakir Kargar
Afghanistan,Naqibullah Orya Khail
Afghanistan,Abdul Samad Khaksar
Afghanistan,Mohammad Khaksar
Afghanistan,Azim Khan
Afghanistan,Kashmir Khan
Afghanistan,Musa Khan Ahmadzai
Afghanistan,Aamir Latif
Afghanistan,List of governors of Baghlan
Afghanistan,Azizullah Lodin
Afghanistan,Atiqullah Ludin
Afghanistan,Ibrahim Malikzada
Afghanistan,Abdul Hafiz Mansoor
Afghanistan,Lutfullah Mashal
Afghanistan,Ahmad Wali Massoud
Afghanistan,Mohammed Islam Mohammadi
Afghanistan,Mohammed Alim Razm
Afghanistan,Mullah Ghani
Afghanistan,Sayyed Mohammad Eqbal Munib
Afghanistan,Abdul Sattar Murad
Afghanistan,Abdul Karim Mustaghni
Afghanistan,Rahmatullah Nabil
Afghanistan,Abdul Jabbar Naeemi
Afghanistan,Gholam Rabani Nasher
Afghanistan,Abdul Hai Neamati
Afghanistan,Ghulam Faroq Nijrabi
Afghanistan,Hamidullah Niyazmand
Afghanistan,Abdul Qadir Nuristani
Afghanistan,Mohammad Tamim Nuristani
Afghanistan,Mohammad Omar (Afghan governor)
Afghanistan,Qurban Ali Oruzgani
Afghanistan,Osman Osmani
Afghanistan,Abdul Rahman Pazhwak
Afghanistan,Habibullah Qaderi
Afghanistan,Mohammed Qalamuddin
Afghanistan,Hamidullah Qalandarzai
Afghanistan,Ismail Qasim Yar
Afghanistan,Murad Quenili
Afghanistan,Salahuddin Rabbani
Afghanistan,Mohammed Rafie
Afghanistan,Abdul Rahman (Afghan minister)
Afghanistan,Sahib Rahman
Afghanistan,Sayed Anwar Rahmati
Afghanistan,Abdur Razzaq (Taliban Interior Minister)
Afghanistan,Ghulam Hassan Safi
Afghanistan,Hanifa Safi
Afghanistan,Mohammad Nabi Safi
Afghanistan,Shah Mahmood Safi
Afghanistan,Ahmad Khan Samangani
Afghanistan,Abdul Majid Samim
Afghanistan,Mohibullah Samim
Afghanistan,Nematullah Shahrani
Afghanistan,Burhanullah Shinwari
Afghanistan,Baktash Siawash
Afghanistan,Abdul Wahed Sorabi
Afghanistan,Ibrahim Spinzada
Afghanistan,Sultan Hamid Sultan
Afghanistan,Mohammad Daud Sultanzoy
Afghanistan,Abdul Jabbar Taqwa
Afghanistan,Abdullah Khan Tarzi
Afghanistan,Assadullah Wafa
Afghanistan,Fazlullah Wahidi
Afghanistan,Abdul Ahad Wardak
Afghanistan,Abdul Qayum Wardak
Afghanistan,Wazir Arsala Khan
Afghanistan,Zalmai Wesa
Afghanistan,Al-Haj Suliman Yari
Afghanistan,Mohammad Hashim Zare
Afghanistan,Abdul Ghafar Lakanwal
Afghanistan,Majah Ha Adrif
Afghanistan,Haroon al-Afghani
Afghanistan,Tayyab Agha
Afghanistan,Aziza Ahmadyar
Afghanistan,Mohammad Sarwar Ahmadzai
Afghanistan,Amir Muhammad Akhundzada
Afghanistan,Daud Arsala
Afghanistan,Nasrullah Baryalai Arsalai
Afghanistan,Mohammad Asim Asim
Afghanistan,Atiqullah Atifmal
Afghanistan,Abdul Rahim Ayoubi
